"Producto","Nombre Corregido","Precio Estimado (USD)","Descripcion"
"GLITER BASE","Base para Glitter","8.00","Base cremosa que sirve como adhesivo para fijar glitter y pigmentos a la piel, asegurando una larga duración."
"MAXGLOW CONFETI VARIADOS","Esmalte Maxglow - Colección Confeti","5.00","Esmalte de uñas semipermanente con partículas de colores y tamaños variados que crean un efecto de confeti."
"PROTEIN BOND","Protein Bond (Adherente)","3.50","Preparador que garantiza la adherencia de acrílico o esmaltes, nivelando el pH de la uña y aportando nutrientes."
"BASE GEL","Base Gel para Esmalte Semipermanente","8.00","Capa base que se aplica sobre la uña natural para protegerla y mejorar la adherencia y duración del esmalte en gel."
"GEL NIVELADOR","Gel Nivelador (Rubber Base)","12.33","Gel de consistencia espesa (rubber base) que fortalece, protege y corrige imperfecciones de la uña natural."
"JELLI BUILDER","Jelli Builder Gel (Gelatina Constructora)","12.58","Gel constructor con consistencia de gelatina, usado para esculpir, modelar y reforzar uñas, ideal para sistemas Jelly Tips."
"FINISH GEL","Finish Gel (Top Coat)","7.50","Capa final o sellador para esmaltado en gel, que proporciona un acabado brillante, protege el color y previene el desgaste."
"GEL 3 EN 1","Esmalte en Gel 3 en 1","8.00","Esmalte en gel que combina base, color y top coat en un solo paso, simplificando la manicura semipermanente."
"ESMALTE MAXGLOW CHRISTAMS","Esmalte Maxglow - Colección Christmas","4.00","Colección de esmaltes semipermanentes Maxglow con colores y acabados inspirados en la temática navideña."
"ACEITE DE CUTICULA MAX","Aceite para Cutícula Maxglow","2.50","Aceite hidratante para nutrir y suavizar la piel alrededor de las uñas, promoviendo cutículas sanas."
"REMOVEDOR DE CUTICULA MAX","Removedor de Cutícula Maxglow","3.00","Líquido o gel que ablanda y facilita la eliminación del exceso de cutícula de forma suave y sin cortes."
"REMOVEDOR DE CUTICULA MOMBRAY","Removedor de Cutícula Mombray","3.00","Producto específico de la marca Mombray para ablandar y remover el exceso de tejido de la cutícula."
"GEL REMOVEDOR MAXGLOW ROSADO","Gel Removedor de Esmalte Maxglow (Rosado)","6.00","Gel para remover esmalte semipermanente, usualmente con una fórmula que es suave con la uña y la piel."
"REMOVEDOR MAXGLOW MARRON","Removedor de Esmalte Maxglow (Marrón)","6.00","Removedor de esmalte semipermanente de la marca Maxglow, posiblemente con una fragancia o característica distintiva."
"PEGA FOIL","Pegamento para Papel Foil","3.00","Adhesivo especial para transferir el papel foil decorativo a las uñas, creando efectos metalizados y holográficos."
"MONOMEROS 50 ML EMA","Monómero EMA 50 ml","5.00","Líquido acrílico (metacrilato de etilo) en presentación de 50 ml, componente esencial para esculpir uñas acrílicas."
"MONOMEROS 100 ML EMA","Monómero EMA 100 ml","9.00","Líquido acrílico (metacrilato de etilo) en presentación de 100 ml para la construcción de uñas acrílicas."
"LIMPIA PINCEL","Líquido Limpia Pinceles","4.50","Solución líquida diseñada para limpiar y acondicionar los pinceles de acrílico y gel, eliminando residuos y prolongando su vida útil."
"SALOM PRO PEGA","Pegamento para Uñas Salom Pro","2.00","Pegamento de uso profesional de la marca Salom, probablemente para tips o decoraciones de uñas."
"PEGA ACRILICA BRUSH ON","Pegamento Acrílico con Brocha","2.50","Adhesivo para uñas con aplicador de brocha, ideal para pegar tips, strass y realizar reparaciones rápidas."
"CAJAS DE PAPEL ORO /12 UND PLATEADO-DORADO","Papel Foil Decorativo (Oro/Plata) - Caja 12 uds","4.00","Set de 12 cajas de láminas finas de papel metalizado (oro y plata) para decoración de uñas y otras manualidades."
"ACRILICOS BLOSOOM MAXGLOW","Polvo Acrílico Maxglow - Tono Blossom","4.00","Polvo acrílico de la colección 'Blossom' de Maxglow, probablemente con tonalidades florales o efectos especiales."
"ACRILICOS BLUSH MAXGLOW","Polvo Acrílico Maxglow - Tono Blush","4.00","Polvo acrílico de Maxglow en un tono 'Blush' (rubor), ideal para bases de uñas con apariencia natural."
"ACRILICOS CORAL MAXGLOW","Polvo Acrílico Maxglow - Tono Coral","4.00","Polvo acrílico de Maxglow en tono coral, para la construcción de uñas con un color vibrante."
"ACRILICOS PINK MAXGLOW","Polvo Acrílico Maxglow - Tono Pink","4.00","Polvo acrílico de Maxglow en un tono rosado clásico para la construcción de uñas."
"ACRILICOS CLEAR MAXGLOW","Polvo Acrílico Maxglow - Tono Clear","4.00","Polvo acrílico transparente de Maxglow, utilizado para encapsular decoraciones y para la base de la uña."
"ACRILICOS POR CAJAS","Kit de Polvos Acrílicos (Varios Colores)","25.00","Venta de polvos acrílicos en formato de caja o kit, conteniendo múltiples colores o una cantidad mayor."
"ACRILICOS CON COLA DE SIRENA","Polvo Acrílico Efecto Cola de Sirena","5.00","Polvo acrílico premezclado con glitter hexagonal o iridiscente que imita las escamas de una cola de sirena."
"POLIGEL MAXGLOW","Polygel Maxglow","10.00","Híbrido entre gel y acrílico de la marca Maxglow, que ofrece una aplicación moldeable y sin olor fuerte."
"POLIGEL MOMBRAY","Polygel Mombray","10.00","Gel de construcción de la marca Mombray, con una fórmula similar al polygel para esculpir uñas."
"LIQUIDO PARA POLIGEL","Líquido para Polygel (Slip Solution)","5.50","Solución (Slip Solution) que facilita el moldeo y la aplicación del polygel, evitando que se pegue al pincel."
"GEL SOLIDO JELLY BUILDER","Gel Sólido Constructor (Jelly Builder)","13.00","Gel constructor de alta viscosidad que no se autonivela, permitiendo esculpir y dar forma con más control."
"BUILDING GELL","Building Gel (Gel Constructor)","12.00","Gel constructor utilizado para crear extensiones de uñas, dar volumen y reforzar la uña natural."
"ESPUMA PARA PESTAÑAS","Espuma Limpiadora para Pestañas (Lash Shampoo)","7.00","Limpiador en espuma (lash shampoo) para higienizar las extensiones de pestañas y el área de los ojos."
"PIN","Pinzas para Cabello","1.50","Horquillas o pasadores metálicos para sujetar el cabello durante peinados o tratamientos."
"PESTAÑAS PELO A PELO NEGRO","Extensiones de Pestañas Pelo a Pelo (Negro)","5.00","Set de pestañas individuales de color negro para la técnica de extensión de pestañas pelo a pelo."
"PESTAÑAS PELO A PELO COLORES","Extensiones de Pestañas Pelo a Pelo (Colores)","6.00","Set de pestañas individuales en diversos colores para crear looks de fantasía con extensiones."
"GORROS TERMICOS","Gorro Térmico para Tratamientos Capilares","4.00","Gorro de aluminio o eléctrico que genera calor para potenciar el efecto de tratamientos capilares como mascarillas."
"EFECTO LUZ DE LUNA","Polvo para Uñas - Efecto Luz de Luna","2.50","Polvo fino o pigmento para uñas que crea un acabado iridiscente o perlado, similar al reflejo de la luna."
"PEINES CARBON","Peines de Carbono (Antiestáticos)","3.00","Peines fabricados con fibra de carbono, conocidos por ser antiestáticos, resistentes al calor y muy duraderos."
"CORTACUTICULAS K","Cortacutículas Profesional 'K'","2.00","Herramienta metálica pequeña, probablemente de la marca 'K', para cortar el exceso de cutícula."
"PINCEL DE MADERA","Pincel para Uñas con Mango de Madera","2.50","Pincel para nail art o aplicación de acrílico con mango de madera."
"BROCHAS DE BARBEROS","Brocha para Barbero (Sacudidor)","5.00","Brocha, usualmente con cerdas suaves, utilizada por barberos para sacudir el cabello cortado del cuello y la cara."
"PINCEL ALTO RELIEVE","Pincel para Alto Relieve (Nail Art 3D)","3.50","Pincel especial, usualmente fino y largo, para la técnica de 'nail art' en 3D o alto relieve."
"GOTAS MAGICAS ROSADAS","Gotas Mágicas Secantes para Uñas","4.00","Líquido, posiblemente un secante rápido o un abrillantador para el esmalte de uñas, con un color rosado."
"TIJERA MANGO NEGRO","Tijera de Peluquería (Mango Negro)","3.00","Tijera de uso general en peluquería o manicura, con mangos de plástico de color negro."
"TIJERA DE METAL","Tijera de Manicura (Acero Inoxidable)","4.00","Tijera completamente metálica, usualmente de acero inoxidable, para cortar uñas o cabello."
"ROLLOS DE FORMAS PARA UÑAS","Rollo de Formas Esculturales para Uñas","3.50","Rollo de pegatinas desechables que se colocan debajo del borde de la uña para esculpir extensiones de acrílico o gel."
"PARCHES DE HIDROGEL","Parches de Hidrogel para Pestañas","1.00","Almohadillas de hidrogel que se colocan debajo de los ojos para proteger la piel durante la aplicación de extensiones de pestañas."
"JELLY TIPS COFFIN","Tips de Soft Gel (Jelly Tips) - Forma Coffin","6.00","Puntas de uña postiza de gel suave (soft gel) con forma 'coffin' (ataúd), para una aplicación rápida de extensiones."
"JELLY TIPS CURVA C","Tips de Soft Gel (Jelly Tips) - Curva C","6.00","Puntas de uña postiza de gel suave (soft gel) con una pronunciada 'Curva C' para una estructura más resistente y estilizada."
"BASES RUBER","Base Rubber (Gel Nivelador)","12.00","Base de gel (rubber base) de consistencia espesa que aporta flexibilidad y resistencia a uñas débiles o quebradizas."
"PASTILLEROS DE CRISTALES","Organizador para Decoración de Uñas (Pastillero)","2.00","Pequeño contenedor con compartimentos para organizar y almacenar decoraciones de uñas como cristales y balines."
"FILTROS","Filtros para Extractor de Polvo de Uñas","5.00","Filtros de repuesto para aspiradores de polvo de uñas, que capturan los residuos del limado."
"OLAPLEX BAÑO DE CREMA","Tratamiento Capilar Olaplex (Baño de Crema)","15.00","Tratamiento capilar intensivo de la marca Olaplex, diseñado para reparar y fortalecer el cabello dañado."
"OLAPLEX ACONDICIONADOS","Acondicionador Olaplex","15.00","Acondicionador de la marca Olaplex que ayuda a reparar, hidratar y desenredar el cabello."
"MONOMERO SUPER CRISTAL","Monómero Super Crystal","9.00","Líquido acrílico de la marca Super Crystal, conocido por su claridad y calidad para uñas acrílicas."
"CORONAS","Decoración para Uñas - Coronas","2.50","Decoración para uñas en forma de corona, usualmente metálica y con incrustaciones de imitación."
"CALCOMANIAS VARIADAS","Calcomanías para Uñas (Diseños Variados)","1.00","Láminas con diseños variados que se transfieren a las uñas con agua o como pegatina."
"VENTILADOR DE PESTAÑAS","Mini Ventilador para Secado de Pestañas","7.00","Pequeño ventilador portátil para acelerar el secado del adhesivo de extensiones de pestañas."
"IMANES","Imán para Esmalte Ojo de Gato (Cat Eye)","2.00","Imán utilizado para crear el efecto 'ojo de gato' (cat eye) en esmaltes magnéticos."
"SILICONAS ROSAS","Pinceles de Silicona para Nail Art (Rosa)","3.00","Herramientas de silicona con punta, de color rosa, usadas para esculpir, aplicar pigmentos o para 'nail art' sin dañar el esmalte."
"CERA GRANULADA","Cera Depilatoria Granulada","8.00","Cera depilatoria en formato de perlas o granos, que se derrite en una olla especial para su aplicación."
"OLLA PRO WAX","Olla Calentadora de Cera Profesional (Pro-Wax)","15.00","Calentador eléctrico profesional para derretir cera depilatoria en lata o granulada."
"BOCHAS DE TINTE","Brocha para Tinte de Cabello","1.50","Brochas de plástico con cerdas sintéticas para aplicar tinte de cabello de manera uniforme."
"GRAPAS DORADAS","Decoración para Uñas - Grapas Doradas","2.00","Decoraciones metálicas doradas en forma de grapa o barra para incrustar en las uñas."
"GRAPAS COLORES","Decoración para Uñas - Grapas de Colores","2.00","Decoraciones metálicas de colores en forma de grapa o barra para 'nail art'."
"PINCEL LINER","Pincel Liner para Nail Art","2.00","Pincel de 'nail art' con cerdas muy finas y largas, ideal para trazar líneas rectas y detalles precisos."
"LAMPARA W 120","Lámpara UV/LED para Uñas (120W)","25.00","Lámpara de curado UV/LED de 120 vatios de potencia, para un secado rápido de geles de uñas."
"PIGMENTOS","Pigmentos en Polvo para Uñas","2.50","Polvos de color puro y concentrado para mezclar con acrílico o gel, o para aplicar directamente sobre la uña."
"PEGA TRANSPARENTE","Pegamento Transparente para Uñas","2.00","Adhesivo transparente de uso general para decoraciones de uñas o tips."
"CALCOMANIS FACIAL","Calcomanías Faciales (Gemas y Diseños)","3.00","Pegatinas decorativas para la piel del rostro, usualmente con gemas o diseños de fantasía."
"BALINES DORADOS/PLATEADOS","Balines para Uñas (Dorados/Plateados)","1.50","Pequeñas esferas metálicas en colores dorado y plateado para decoración de uñas."
"DREMEL INALAMBRICO BQ 101","Torno de Uñas Inalámbrico BQ-101","35.00","Torno o pulidor de uñas eléctrico e inalámbrico, modelo BQ-101, para manicura y pedicura profesional."
"LAMPARA JELLY CANGURO","Lámpara LED Portátil 'Jelly Canguro'","10.00","Lámpara de curado LED pequeña y portátil, con un diseño flexible tipo 'canguro' para curar uñas individuales o tips."
"LIMA TIFFANY 100/180","Lima de Uñas Tiffany (Grano 100/180)","1.50","Lima de uñas de la marca Tiffany con dos granos: 100 (más abrasivo) y 180 (más suave)."
"TOP COAT TIFFANY","Top Coat Tiffany","4.00","Capa final (sellador) de la marca Tiffany para proteger el esmalte y dar un acabado brillante."
"BASE COAT TIFFANY","Base Coat Tiffany","4.00","Capa base de la marca Tiffany para proteger la uña y mejorar la adherencia del esmalte."
"FINISH GEL UV TIFFANY","Finish Gel UV Tiffany","4.50","Gel de acabado de la marca Tiffany que requiere curado en lámpara UV/LED para un brillo duradero."
"TOP COAT REFLECTIVE GLITER 10 ML","Top Coat Reflective Glitter (10 ml)","5.00","Top coat con partículas de glitter reflectivo que brillan intensamente con la luz directa o el flash."
"TOP GEL 6 EN 1 REFORZAMIENTO 15 ML","Top Gel Reforzador 6 en 1 (15 ml)","9.00","Gel finalizador multifuncional que sirve como top coat, reforzador de uña, nivelador y más."
"NAIL PREP NIVELADOR TIFFANY","Nail Prep Nivelador de pH Tiffany","4.00","Preparador de la marca Tiffany que deshidrata la uña y nivela el pH para una mejor adhesión de productos."
"PESTAÑAS CRUZADAS","Pestañas Postizas (Efecto Cruzado)","2.50","Pestañas postizas en tira con un patrón de pelos entrecruzados para un efecto de mayor volumen y naturalidad."
"ESMALTE SEMIPERMANENTE","Esmalte Semipermanente (Color Variado)","4.00","Esmalte de uñas que requiere curado en lámpara UV/LED y ofrece una duración de varias semanas."
"LAMPARA MINI HUEVITO","Mini Lámpara LED para Uñas (Forma de Huevo)","5.00","Lámpara de curado LED muy pequeña y portátil, con forma de huevo, para curar una uña a la vez."
"CARRUSEL DE BALINES MIXTA","Carrusel de Balines para Uñas (Mixto)","2.00","Contenedor giratorio (carrusel) con balines de diferentes colores o tamaños para decoración de uñas."
"REPUJADOR DE METAL CON LANZA","Empujador de Cutícula de Metal con Lanza","3.00","Herramienta de manicura de metal con un extremo para empujar la cutícula y otro en forma de lanza para limpiar."
"REPUJADOR TRIANGULO","Empujador de Cutícula con Punta Triangular","3.00","Herramienta de manicura con una punta en forma de triángulo para facilitar la limpieza debajo de la uña y los bordes."
"WATER COLOR TINTA","Tintas de Acuarela para Nail Art (Water Color)","2.50","Tintas líquidas de acuarela especiales para 'nail art', que crean efectos de color translúcidos y difuminados."
"GEL SPIDER SANGRIA","Spider Gel para Nail Art (Color Sangría)","4.50","Gel para 'nail art' de alta viscosidad y color sangría, que permite crear líneas finas y rectas como telarañas."
"PINCEL LAINES PLASTICO","Pincel Liner para Nail Art (Mango de Plástico)","1.50","Pincel para delinear (liner) con mango de plástico, de bajo costo."
"PUNTEROS","Punteros para Nail Art (Dotting Tool)","2.00","Herramienta de 'nail art' con puntas esféricas de diferentes tamaños para crear puntos, círculos y otros diseños."
"NAVAJA ACERO INOX SALOM","Navaja de Afeitar de Acero Inoxidable Salom","3.50","Navaja de acero inoxidable de la marca Salom, utilizada en barbería para perfilar o afeitar."
"HILO TINTURADO","Hilo Tinturado para Diseño de Cejas (Brow Mapping)","5.00","Hilo pre-entintado utilizado para el diseño de cejas (brow mapping), que marca las líneas guía en la piel."
"ALGODÓN GAZA","Algodón o Gasa para Manicura","2.00","Algodón o gasa en rollo o almohadillas para limpieza en procedimientos de manicura o cosméticos."
"ATOMIZADOR BARBERO","Atomizador de Agua para Barbería","4.00","Botella con rociador para humedecer el cabello durante el corte, de estilo clásico de barbería."
"BIGUDIES PESTAÑAS","Bigudíes de Silicona para Lifting de Pestañas","3.00","Pequeños rulos o moldes de silicona sobre los que se curvan las pestañas durante un procedimiento de lifting."
"BLEDO ARCOIRIS LARGO DELG","Bledo para Uñas (Arcoíris, Largo y Delgado)","4.00","Brocha larga y delgada con cerdas de colores arcoíris para retirar el polvo de las uñas después del limado."
"BLEDO ARCOIRIS LARGO","Bledo para Uñas (Arcoíris, Largo y Ancho)","5.00","Brocha ancha y larga con cerdas de colores arcoíris para retirar el polvo de las uñas."
"BOLITAS EFERVECENTE","Bombas Efervescentes para Manicura","1.50","Pequeñas bombas de baño para manos, que se disuelven en agua para ablandar cutículas y preparar la manicura."
"BUILDER GEL AUTONIVELADOR","Builder Gel Autonivelador","12.00","Gel constructor que se nivela por sí mismo, facilitando una aplicación más rápida y uniforme."
"CARTA TINTE CABELLO","Carta de Colores para Tinte de Cabello","10.00","Catálogo de mechas de cabello que muestra los colores de una línea de tintes para el cabello."
"CEPILLO LIMPIADOR PEQUEÑO","Cepillo Pequeño para Limpieza de Uñas","1.00","Cepillo pequeño y rígido para limpiar el polvo de las uñas y herramientas."
"CORTACUTICULA M.P","Cortacutículas M.P","2.00","Cortacutículas de una marca económica o genérica, identificada como 'M.P'."
"CORTACUTICULA M .P.R","Cortacutículas M.P.R","2.00","Cortacutículas de una marca económica o genérica, similar al anterior."
"CORTAUÑAS ARCOIRIRS","Cortauñas (Acabado Tornasol)","3.00","Cortauñas con un acabado metálico tornasolado, tipo arcoíris."
"CUADRNO P/ONESTRONE","Cuaderno de Práctica para One Stroke","1.00","Posiblemente un 'Cuaderno para 'one stroke'', una libreta para practicar la técnica de pintura de 'nail art' de un solo trazo."
"DAPPEN SENCILLO","Vaso Dappen de Vidrio","1.00","Vaso pequeño de vidrio (vaso Dappen) para colocar el monómero durante la aplicación de uñas acrílicas."
"DECOLORANTE MAXGLOW","Polvo Decolorante para Cabello Maxglow","7.00","Polvo decolorante de la marca Maxglow para aclarar el cabello."
"DISPENSADOR DE ACETONA","Dispensador de Acetona con Bomba","3.50","Botella con dosificador a presión para humedecer fácilmente un algodón con acetona o removedor."
"DREMEL TORNASOL REC","Torno de Uñas Recargable (Acabado Tornasol)","40.00","Torno de uñas eléctrico y recargable con un acabado metálico tornasolado."
"FINISH PEACOCK","Finish Gel Efecto Pavo Real (Peacock)","5.00","Gel finalizador con un efecto 'pavo real', que probablemente contiene partículas que cambian de color."
"FINISH GEL PREMUM M/15ML","Finish Gel Premium 'M' (15 ml)","9.00","Gel finalizador de calidad premium de la marca 'M' en presentación de 15 ml."
"GEL 3 EN 1 M 10ML","Esmalte en Gel 3 en 1 'M' (10 ml)","6.00","Esmalte en gel 3 en 1 de la marca 'M' en presentación de 10 ml."
"GEL 3 EN 1 M 15ML","Esmalte en Gel 3 en 1 'M' (15 ml)","8.00","Esmalte en gel 3 en 1 de la marca 'M' en presentación de 15 ml."
"GORROS DE SEGURIDAD","Gorros Desechables de Higiene","1.50","Gorros desechables para cubrir el cabello y mantener la higiene durante procedimientos estéticos."
"REMOVEDOR PEGA PESTAÑA","Removedor de Pegamento para Pestañas","4.50","Removedor en gel o crema para disolver de forma segura el adhesivo de las extensiones de pestañas."
"SANITIZANTE","Líquido Sanitizante (Antiséptico)","3.00","Líquido o spray antiséptico para desinfectar manos y herramientas antes de un procedimiento."
"TAZA MASCARILLA FACIAL","Kit para Preparar Mascarillas Faciales","2.50","Kit que incluye un bol y espátula para mezclar y aplicar mascarillas faciales."
"TINTE CABELLO","Tinte para Cabello (Color Variado)","6.00","Tubo de tinte para la coloración permanente o semipermanente del cabello."
"UÑAS CURVAS C/500","Tips para Uñas (Curva C) - Caja 500 uds","10.00","Caja con 500 tips de uña postiza con una pronunciada 'Curva C'."
"UÑAS COFFIN","Tips para Uñas (Forma Coffin) - Caja 500 uds","10.00","Caja con tips de uña postiza preformados con el estilo 'coffin' (ataúd)."
"UÑAS JELLYCOFFIN /100","Tips de Soft Gel (Jelly Coffin) - Caja 100 uds","8.00","Caja con 100 puntas de uña de gel suave (Jelly) con forma 'coffin'."
"GUILLOTINA","Guillotina para Cortar Tips de Uñas","3.50","Herramienta para cortar tips de uñas postizas a la longitud deseada de forma recta y precisa."
"JELLY BUILDER 10ML","Jelly Builder Gel (10 ml)","8.00","Gel constructor con consistencia de gelatina en presentación de 10 ml."
"KIT LIFTING","Kit de Lifting para Pestañas","15.00","Conjunto de productos para realizar un levantamiento de pestañas (lifting), que incluye adhesivos, lociones y moldes."
"LAMPARA JELLY MESA","Lámpara LED de Escritorio para Uñas (Brazo Flexible)","18.00","Lámpara de curado LED de escritorio con un brazo flexible, ideal para sistemas de soft gel."
"LAMPARA SUN X5 PLUS","Lámpara UV/LED para Uñas SUN X5 Plus","20.00","Lámpara de curado UV/LED, modelo Sun X5 Plus, de potencia intermedia para uso doméstico o profesional."
"LIMA MAXGLOW 80/80","Lima para Uñas Maxglow (Grano 80/80)","1.50","Lima de uñas de la marca Maxglow con un grano muy abrasivo (80/80), para rebajar acrílico o gel."
"LIMA SAKURA 100/180","Lima para Uñas Sakura (Grano 100/180)","1.00","Lima de uñas de la marca Sakura con grano 100 (abrasivo) y 180 (suave)."
"MOLDE DUAL FORMA U","Moldes Dual System (Forma U)","5.00","Moldes reutilizables para polygel con 'forma de U', que ayudan a esculpir la uña con una sonrisa más cuadrada."
"MONOMERO M EMA 100ML","Monómero 'M' EMA (100 ml)","9.00","Líquido acrílico de la marca 'M' (EMA) en presentación de 100 ml."
"MONOMERO TROPICAL 50ML","Monómero con Aroma Tropical (50 ml)","5.00","Líquido acrílico con aroma tropical en presentación de 50 ml."
"MOSTRARIO NAT/CLEAR","Exhibidor de Uñas (Natural/Transparente)","2.50","Exhibidor de uñas en color natural o transparente para mostrar diseños de 'nail art' o colores de esmalte."
"PAITING GEL NEGRO","Painting Gel (Negro)","4.00","Gel de alta pigmentación y color negro, especial para dibujar y crear diseños de 'nail art' a mano alzada."
"PALETA DEPILAR PEQ","Paleta de Madera para Depilar (Pequeña)","0.50","Paleta de madera o plástico pequeña para aplicar cera depilatoria en áreas chicas."
"PALITO CON ALGODÓN","Aplicador de Algodón (Hisopo)","1.00","Hisopo o bastoncillo de algodón, usado para corregir errores de esmaltado o aplicar productos."
"PALITO DE NARANJA","Palito de Naranjo para Cutículas","1.00","Palito de madera de naranjo con un extremo en punta y otro biselado, para empujar cutículas y limpiar."
"PEGA RESINA","Pegamento de Resina para Uñas","2.50","Adhesivo de resina de secado rápido y muy fuerte, para pegar tips y decoraciones pesadas."
"PESTAÑA VOLUMEN RUSO","Extensiones de Pestañas (Volumen Ruso)","6.00","Abanicos de pestañas pre-armados para la técnica de volumen ruso, que crea un efecto denso y dramático."
"PINCEL FUSCIA 10","Pincel para Acrílico #10 (Color Fucsia)","4.00","Pincel para acrílico del número 10, con mango o cerdas de color fucsia."
"PINCEL SILICON","Pincel de Silicona para Nail Art","3.00","Pincel con punta de silicona, ideal para aplicar polvos de efecto espejo, pigmentos y para esculpir sin dejar marcas."
"PINZA PARA POLIGEL","Pinza para Moldes Dual System (Polygel)","2.00","Pinza o clip para mantener el molde dual presionado sobre la uña mientras se cura el polygel."
"POLVO ACRILICO 10Z","Polvo Acrílico (1 oz)","15.00","Error de tipeo, probablemente '1oz'. Polvo acrílico en presentación de 1 onza (aprox. 28-30 gramos)."
"POLVO ESPEJO","Polvo Efecto Espejo (Chrome Powder)","3.00","Polvo de cromo ultra fino que se frota sobre el esmalte para crear un acabado metálico tipo espejo."
"PUNTAS RUSAS /6","Set de 6 Puntas para Manicura Rusa","5.00","Set de 6 puntas o fresas para torno, específicas para la técnica de manicura rusa (limpieza profunda de cutícula)."
"PUNTA RUSAS /12","Set de 12 Puntas para Manicura Rusa","9.00","Set de 12 puntas o fresas para torno, para la técnica de manicura rusa."
